id,name,country
989,Wissembourg,FR
991,Marienthal,FR
992,Bischwiller,FR
993,Kurtzenhouse,FR
994,Weyersheim,FR
995,Hoerdt,FR
996,St-Lactensin—Tesseau,FR
997,Wimmenau,FR
998,Ingwiller,FR
999,Menchhoffen,FR
1000,Bretenoux—Biars,FR
1001,Ettendorf,FR
1002,Alteckendorf,FR
1003,Tauxigny,FR
1004,Griesbach le Bastberg,FR
1005,Niedermodern,FR
1006,Ebersheim,FR
1007,Kogenheim,FR
1008,Benfeld,FR
1009,Matzenheim,FR
1010,Erstein,FR
1011,Scherwiller,FR
1012,Dambach-la-Ville,FR
1013,Epfig,FR
1014,Eichhoffen,FR
1015,Barr,FR
1016,Gertwiller,FR
1017,Goxwiller,FR
1018,Obernai,FR
1019,Bischoffsheim,FR
1021,Rosheim,FR
1022,Dorlisheim,FR
1034,Lingolsheim,FR
1035,Holtzheim,FR
1036,Entzheim Aéroport,FR
1037,Duppigheim,FR
1038,Duttlenheim,FR
1039,Dachstein,FR
1040,Mutzig,FR
1041,Gresswiller,FR
1042,Heiligenberg—Mollkirch,FR
1043,Urmatt,FR
1044,Mullerhof,FR
1045,Lutzelhouse,FR
1046,Wisches,FR
1047,Bayeux,FR
1048,Russ—Hersbach,FR
1049,Schirmeck—La Broque,FR
1050,Rothau,FR
1051,Fouday,FR
1052,St-Blaise-la-Roche—Poutay,FR
1053,Saulxures,FR
1054,Bourg-Bruche,FR
1055,Saales,FR
1056,Chatenois,FR
1057,Val-de-Villé,FR
1059,Lièpvre,FR
1060,Ste-Croix-aux-Mines,FR
1061,Sainte-Marie-aux-Mines (Mairie),FR
1062,Réding,FR
1063,Igney—Avricourt,FR
1064,Nouvel-Avricourt,FR
1065,Rechicourt-le-Château,FR
1066,Béziers,FR
1067,Gondrexange,FR
1068,Heming,FR
1069,Arzviller,FR
1070,Lutzelbourg,FR
1071,Hommarting,FR
1072,St-Jean-de-Bassel,FR
1073,Gosselming,FR
1074,Dolving,FR
1075,Romelfing,FR
1076,Cutting,FR
1077,Domnon-les-Dieuze,FR
1078,Bassing,FR
1079,Nebing,FR
1080,Loudrefing,FR
1081,Mittersheim,FR
1083,Oberstinzel,FR
1085,Sarraltroff,FR
1086,Bettborn,FR
1088,Fénétrange,FR
1089,Niederstinzel,FR
1090,Wolfskirchen,FR
1091,Bischtroff-sur-Sarre,FR
1092,Sarrewerden,FR
1093,Sarre-Union,FR
1094,Schopperten,FR
1095,Keskastel,FR
1096,Oermingen,FR
1097,Voellerdingen,FR
1099,Diemeringen,FR
1100,Tieffenbach—Struth,FR
1101,Frohmuhl,FR
1104,Chambourg Chopin,FR
1105,Eycheil,FR
1110,Erce,FR
1111,Aulus-les-Bains,FR
1112,Latrape,FR
1113,Alaï,FR
1114,Cravant-Bazarnes,FR
1115,Lamure-sur-Azergues,FR
1116,Sorèze,FR
1119,Carcassonne,FR
1120,Balsièges,FR
1121,Tournai Frontière,BE
1122,Froyennes,BE
1123,Châlons-en-Champagne,FR
1124,Châlons-en-Champagne Tissier,FR
1125,Châlons-en-Champagne,FR
1126,Châlons-en-Champagne Bagatelle,FR
1128,Paris Gare du Nord,FR
1129,Paris Gare du Nord,FR
1137,Culmont-Chalindrey,FR
1139,Capdenac,FR
1143,Aéroport Paris Roissy Charles de Gaulle CDG,FR
1144,Aéroport Paris Roissy Charles de Gaulle CDG T2,FR
1150,Coudekerque-Branche,FR
1151,Château-du-Loir,FR
1159,Nanteuil-le-Haudouin,FR
1160,Ormoy-Villers,FR
1161,Crépy-en-Valois,FR
1162,Vaumoise,FR
1163,Villers-Cotterêts,FR
1164,Longpont,FR
1165,Vierzy,FR
1166,Crouy,FR
1167,Margival,FR
1168,Jaux,FR
1173,Choisy-au-Bac,FR
1175,Esches,FR
1176,Vineuil-St-Firmin,FR
1177,Courteuil,FR
1178,St-Nicolas-Aumont,FR
1179,Cannes,FR
1180,Cannes,FR
1181,Cannes—La Bocca,FR
1182,St-Jean-le-Centenier,FR
1183,Cholet,FR
